sugar_to_flour_ratio,sugar_index,bake_temp,chill_time,calories,density,pH,grams_baking_soda,bake_time,quality,butter_type,weight,crunch_factor,aesthetic_appeal,raisins,nuts,chocolate,oats,peanut_butter
0.29,3.9,340,62.0,140.0,0.99237,8.1,0.59,11.1,8,1,12.8,1.65,3,0,0,1,0,0
0.36,5.9,580,31.0,132.0,0.995,8.25,0.52,10.9,8,1,15.8,1.02,3,0,0,1,1,0
0.36,15.7,450,68.0,183.0,0.99922,8.25,0.76,9.4,7,1,14.4,1.19,3,0,0,1,0,0
0.32,6.3,480,47.0,159.0,0.99282,8.21,0.6,11.0,8,1,12.4,1.67,3,0,0,1,0,0
0.49,8.65,330,42.0,186.0,0.9931,8.14,0.38,12.4,10,1,15.4,1.25,3,1,0,0,0,0
0.5,10.0,360,78.0,167.0,0.9964,8.15,0.55,10.2,8,1,13.8,1.94,3,0,0,1,0,0
0.37,2.0,820,24.0,58.0,0.9964,8.34,0.59,9.4,6,0,15.6,1.71,3,1,0,0,0,0
0.52,10.1,500,29.0,140.0,0.99628,8.07,0.4,9.4,7,1,13.2,1.14,3,1,0,0,0,0
0.24,2.3,470,60.0,189.0,0.995,8.65,0.72,10.1,8,1,11.4,1.06,3,0,0,1,0,0
0.34,3.0,540,22.0,141.0,0.99338,8.26,0.47,10.4,8,1,13.2,1.01,3,0,0,1,0,0
0.32,1.1,220,48.0,116.0,0.99218,8.04,0.67,10.0,8,1,14.4,1.17,3,0,0,1,1,0
0.49,2.4,780,26.0,121.0,0.9978,8.23,0.58,9.2,5,0,18.0,1.0,3,0,1,1,0,0
0.32,1.0,530,31.0,218.5,0.9924,8.29,0.72,9.8,8,1,12.0,1.72,3,1,0,0,0,0
0.05,0.8,380,11.0,30.0,0.9924,8.36,0.35,9.2,7,1,11.2,1.75,3,0,0,1,0,0
0.32,2.8,840,21.0,122.0,0.9984,8.32,0.62,9.4,5,0,18.0,1.22,3,0,1,1,0,0
0.22,3.4,1050,11.0,86.0,1.001,8.43,0.64,11.3,4,0,20.2,1.2,3,1,0,0,1,0
0.28,9.8,390,29.0,113.0,0.99406,8.11,0.45,10.9,9,1,13.6,1.45,3,0,0,1,1,0
0.44,1.2,510,39.0,122.0,0.99058,8.11,0.75,11.3,9,1,12.8,1.41,3,0,0,1,1,0
0.33,2.05,630,13.0,27.0,0.99516,8.26,0.84,11.7,7,0,18.2,1.2,3,0,0,1,0,0
0.13,1.2,420,60.0,172.0,0.99114,8.06,0.52,10.6,7,1,12.0,1.49,3,1,0,0,0,0
0.24,2.2,870,5.0,28.0,0.9988,8.14,0.6,10.2,5,0,19.2,1.39,3,0,1,1,1,0
0.34,5.1,550,34.0,125.0,0.9942,8.36,0.42,9.6,7,1,13.2,1.34,3,0,0,1,1,0
0.34,8.5,330,31.0,253.0,0.9953,8.22,0.56,10.5,8,1,14.0,1.82,3,0,0,1,0,0
0.0,2.6,810,6.0,14.0,0.9975,8.3,0.52,9.3,5,0,15.4,1.29,3,0,0,1,0,0
0.28,7.2,600,41.0,132.0,0.9935,8.08,0.59,11.3,8,1,14.4,1.18,3,0,0,1,0,0
0.48,1.7,1000,14.0,96.0,0.9961,8.19,0.62,9.5,5,0,15.6,1.56,3,0,1,1,1,0
0.37,8.9,530,36.0,148.0,0.996,8.16,0.5,9.3,7,1,13.8,1.84,3,0,1,1,0,0
0.2,7.7,460,51.0,174.0,0.99582,8.16,0.52,9.5,7,1,14.4,1.35,3,0,0,1,0,0
0.13,2.3,760,29.0,40.0,0.99574,8.42,0.75,11.0,6,0,12.6,1.18,3,1,1,0,0,0
0.3,1.6,400,19.0,86.0,0.99089,8.32,0.65,11.5,8,1,12.8,1.28,3,0,0,1,0,0
0.26,7.7,540,56.0,209.0,0.9961,8.17,0.45,8.8,7,1,13.2,2.0,3,1,0,0,0,0
0.56,11.9,430,64.0,226.0,0.997,8.02,0.63,9.3,7,1,13.6,1.52,3,0,0,1,0,0
0.3,1.4,370,45.0,143.0,0.9932,8.13,0.33,9.9,8,1,14.2,1.99,3,0,0,1,0,0
0.34,1.4,560,14.0,171.0,0.9946,8.13,0.47,9.7,7,1,17.8,1.37,3,1,0,0,0,0
0.01,2.1,560,5.0,13.0,0.99472,8.52,0.56,11.4,5,0,12.2,1.14,3,1,1,0,0,0
0.49,15.55,580,50.0,134.0,0.9998,8.42,0.36,9.1,9,1,14.6,1.85,3,0,0,1,1,0
0.27,3.2,470,16.0,93.0,0.99235,8.44,0.53,10.1,9,1,10.4,1.54,3,0,0,1,0,0
0.55,8.1,400,67.0,216.0,0.99596,8.24,0.5,9.2,7,1,12.6,1.55,3,0,0,1,0,0
0.46,4.7,290,21.0,94.0,0.991,8.29,0.62,12.3,8,1,12.2,1.37,3,1,0,0,0,0
0.1,2.6,810,45.0,87.0,0.9983,8.48,0.53,10.0,5,0,16.6,1.61,3,0,1,0,1,0
0.53,12.7,470,60.5,164.5,0.9984,8.06,0.45,9.1,8,1,14.6,1.7,3,0,0,1,0,0
0.32,2.3,780,35.0,152.0,0.998,8.25,0.48,9.4,5,0,19.6,1.97,3,1,0,0,1,0
0.36,1.6,520,23.0,72.0,0.98974,8.1,0.5,11.5,9,1,12.0,1.66,3,0,0,1,1,0
0.14,7.05,450,50.0,177.0,0.99564,8.23,0.42,9.0,7,1,12.6,1.34,3,0,0,1,0,0
0.42,7.1,450,62.0,209.0,0.99544,8.2,0.53,9.5,8,1,12.6,1.34,3,0,0,1,0,0
0.35,3.5,280,35.0,91.0,0.99022,7.96,0.33,12.1,7,1,14.2,1.34,3,0,0,1,0,0
0.2,2.0,430,39.0,154.0,0.99226,8.21,0.39,10.2,8,1,11.6,1.88,3,0,0,1,0,0
0.29,8.9,460,82.0,188.0,0.9955,8.3,0.44,10.3,8,1,13.6,1.66,3,0,0,1,0,0
0.44,2.3,710,21.0,68.0,0.9992,8.46,0.63,9.5,5,0,19.0,1.67,3,1,1,0,0,0
0.35,13.1,500,64.0,205.0,0.997,8.15,0.5,9.5,7,1,13.4,1.63,3,0,0,1,0,0
0.45,2.0,820,6.0,15.0,0.9988,7.94,0.66,9.2,6,0,22.6,1.34,3,1,0,0,0,0
0.44,1.9,980,6.0,15.0,0.9956,8.3,0.64,11.4,6,0,16.0,1.5,3,1,0,0,0,0
0.29,15.5,640,56.0,115.5,0.99737,8.16,0.41,9.7,9,1,14.2,1.64,3,0,0,1,1,0
0.28,8.5,520,55.0,211.0,0.9962,8.09,0.55,8.9,8,1,13.2,1.27,3,0,0,1,0,0
0.24,1.7,480,26.0,124.0,0.9942,8.37,0.6,10.1,8,1,13.2,1.28,3,0,0,1,0,0
0.31,3.9,340,42.0,137.0,0.99218,8.24,0.46,10.9,8,1,12.2,1.1,3,0,0,1,0,0
0.27,1.5,400,19.0,114.0,0.99295,8.36,0.62,10.5,8,1,13.2,1.3,3,0,0,1,0,0
0.25,2.5,450,32.0,122.0,0.99329,8.18,0.54,10.3,7,1,14.6,1.58,3,1,0,0,0,0
0.23,2.2,940,16.0,29.0,0.9962,8.21,0.49,10.2,6,0,16.0,1.53,3,0,1,1,0,0
0.27,2.6,840,12.0,78.0,0.9964,8.39,0.71,11.0,5,0,14.4,1.85,3,1,1,0,0,0
0.27,4.9,360,30.0,134.0,0.9927,8.2,0.42,10.4,9,1,12.4,1.29,3,1,0,0,0,0
0.09,1.4,400,56.0,145.0,0.9922,8.19,0.46,10.0,7,1,13.6,1.7,3,1,0,0,0,0
0.22,1.4,560,24.0,130.0,0.9944,8.28,0.48,9.5,7,1,15.6,1.25,3,0,0,1,0,0
0.49,1.2,420,43.0,160.0,0.9934,8.13,0.48,9.7,8,1,16.2,1.5,3,0,0,1,1,0
0.3,10.2,280,28.0,131.0,0.9954,8.49,0.42,10.8,9,1,11.2,1.1,3,0,0,1,1,0
0.34,10.0,560,35.0,178.0,0.9974,8.26,0.6,10.2,7,1,15.4,1.35,3,1,0,0,0,0
0.24,2.0,600,19.0,50.0,0.9917,8.72,0.74,14.0,8,0,10.0,1.97,3,0,1,1,0,0
0.34,1.3,420,20.0,69.0,0.9912,8.31,0.65,12.0,9,1,14.0,1.45,3,1,0,0,0,0
0.32,1.8,660,26.0,51.0,0.99456,8.38,0.72,11.8,6,0,17.0,1.53,3,1,0,0,0,0
0.19,5.8,410,22.0,145.0,0.9943,8.15,0.63,9.9,7,1,12.6,1.45,3,1,0,0,0,0
0.26,1.4,300,12.0,76.0,0.9905,8.25,0.37,10.9,9,1,11.2,1.08,3,0,0,1,1,0
0.49,6.9,340,26.0,91.0,0.9937,7.99,0.34,11.5,7,1,18.0,1.96,3,1,0,0,0,0
0.28,3.7,590,29.0,151.0,0.99177,8.23,0.41,12.1,9,1,13.0,1.75,3,0,0,1,0,0
0.31,1.6,380,34.0,116.0,0.9912,8.25,0.39,12.0,9,1,14.8,1.45,3,0,0,1,0,0
0.2,1.6,490,24.0,64.0,0.9935,8.38,0.57,11.7,6,0,14.6,1.81,3,0,1,1,0,0
0.31,2.8,380,41.0,114.0,0.99155,8.37,0.66,11.7,9,1,12.8,1.43,3,0,0,1,0,0
0.34,14.0,320,47.0,133.0,0.9952,8.37,0.5,12.2,9,1,13.6,1.85,3,0,0,1,0,0
0.26,2.2,230,21.0,95.0,0.9893,8.07,0.54,12.3,8,1,11.4,1.03,3,0,0,1,1,0
0.22,12.3,510,35.0,146.0,0.99676,8.1,0.67,9.4,7,1,13.2,1.16,3,0,0,1,0,0
0.35,2.9,340,38.0,121.0,0.99008,8.19,0.4,12.8,8,1,13.2,1.33,3,0,0,1,0,0
0.31,1.9,300,41.0,104.0,0.99,8.29,0.62,12.6,9,1,13.4,1.24,3,0,1,1,0,0
0.15,2.0,290,27.0,87.0,0.9903,8.3,0.59,12.6,9,1,14.4,1.08,3,1,0,0,0,0
0.36,1.4,450,11.0,119.0,0.99556,8.17,0.47,9.4,6,1,17.2,1.78,3,1,0,0,0,0
0.13,7.8,420,11.0,117.0,0.996,8.23,0.37,9.2,7,1,13.8,1.11,3,1,0,0,0,0
0.37,1.6,350,34.0,126.0,0.99058,8.26,0.47,12.3,8,1,14.0,1.16,3,0,0,1,0,0
0.67,8.1,370,53.0,166.0,0.9966,7.9,0.41,8.9,8,1,15.0,1.6,3,0,0,1,0,0
0.08,1.7,660,3.0,20.0,0.9954,8.34,0.58,9.4,5,0,12.6,1.98,3,1,0,0,0,0
0.31,1.2,260,31.0,68.0,0.9898,8.33,0.44,11.63333333,8,1,11.0,1.57,3,0,0,1,1,0
0.32,0.9,340,40.0,114.0,0.99114,8.31,0.58,10.8,9,1,12.8,1.06,3,0,0,1,0,0
0.27,11.0,350,46.0,116.0,0.99602,8.12,0.38,9.1,8,1,12.4,1.78,3,0,0,1,1,0
0.49,2.2,830,5.0,15.0,1.0,8.19,0.43,9.2,5,0,23.4,1.79,3,0,1,1,0,0
0.44,1.6,630,16.0,37.0,0.9985,8.22,0.78,10.0,6,0,21.6,1.82,3,1,0,0,0,0
0.63,3.8,890,6.0,47.0,1.0014,8.01,0.81,10.8,6,0,28.0,1.52,3,0,1,1,0,0
0.49,3.5,440,29.0,117.0,0.9938,8.14,0.51,10.1,8,1,17.0,1.27,3,0,0,1,1,0
0.32,1.5,370,12.0,76.0,0.98993,8.3,0.46,12.3,8,1,12.6,1.21,3,1,0,0,0,0
0.21,2.1,800,33.0,141.0,0.9962,8.25,0.51,9.9,5,0,15.8,1.31,3,0,1,1,1,0
0.31,12.9,450,55.0,161.0,0.99546,8.02,0.59,10.2,7,1,12.8,1.29,3,1,0,0,0,0
0.32,1.9,820,17.0,144.0,0.9968,8.2,0.55,9.5,5,0,15.8,1.96,3,0,1,1,0,0
0.26,1.6,880,16.0,23.0,0.99694,8.32,0.47,9.4,5,0,17.6,1.92,3,0,1,1,1,0
0.21,1.9,900,44.0,130.0,0.99255,8.07,0.41,9.7,7,1,12.2,1.57,3,0,0,1,1,0
0.29,3.0,360,17.0,117.0,0.99411,8.36,0.68,10.1,8,1,14.4,1.84,3,0,0,1,0,0
0.0,1.9,800,14.0,35.0,0.9972,8.47,0.55,9.4,5,0,14.2,1.61,3,0,1,0,1,0
0.32,1.2,370,14.0,119.0,0.99137,8.19,0.5,10.2,8,1,11.6,1.85,3,0,0,1,1,0
0.29,1.1,350,44.0,140.0,0.99142,8.17,0.55,10.7,9,1,12.8,1.71,3,0,0,1,1,0
0.22,4.8,410,110.0,198.0,0.99437,8.29,0.67,10.6,7,1,13.6,1.49,3,0,0,1,0,0
0.25,1.3,340,28.0,123.0,0.9915,8.27,0.55,11.4,8,1,14.2,1.49,3,0,0,1,1,0
0.27,12.15,330,37.0,116.0,0.9959,7.99,0.39,10.8,8,1,16.8,1.9,3,1,1,0,0,0
0.18,1.4,470,30.0,90.0,0.99164,8.27,0.54,11.2,8,1,13.6,1.1,3,0,0,1,1,0
0.21,2.9,260,48.0,126.0,0.99089,8.22,0.38,11.3,9,1,13.2,1.66,3,0,0,1,0,0
0.25,1.3,400,28.0,85.0,0.98984,7.87,0.48,11.2,8,1,13.2,1.69,3,0,0,1,0,0
0.21,2.2,440,15.0,68.0,0.9932,8.17,0.39,9.4,8,1,13.6,1.54,3,1,0,0,0,0
0.28,6.5,370,26.0,97.0,0.99148,8.16,0.58,12.6,9,1,14.6,1.22,3,0,1,1,0,0
0.24,2.7,170,22.0,80.0,0.99084,8.03,0.37,11.5,7,1,13.4,1.25,3,1,0,0,0,0
0.23,2.9,390,10.0,108.0,0.99243,8.28,0.5,10.0,7,1,11.0,1.85,3,0,0,1,1,0
0.28,8.3,340,29.0,81.0,0.99151,7.96,0.39,12.5,8,1,13.4,1.27,3,1,0,0,0,0
0.0,2.2,880,16.0,32.0,0.99756,8.58,0.67,10.2,5,0,14.8,1.71,3,1,0,0,1,0
0.26,1.7,410,31.0,110.0,0.99142,8.2,0.53,11.0,8,1,14.0,1.69,3,0,0,1,0,0
0.24,12.1,460,51.0,172.0,0.998,8.35,0.45,9.5,7,1,12.2,1.19,3,0,0,1,0,0
0.29,1.8,500,40.0,147.0,0.9912,8.06,0.44,11.4,9,1,13.2,1.63,3,0,0,1,1,0
0.32,5.5,490,41.0,176.0,0.995,8.19,0.68,9.2,8,1,12.8,1.14,3,0,0,1,0,0
0.44,2.8,890,11.0,43.0,0.9975,8.53,0.61,10.5,6,0,16.4,1.23,3,0,1,1,0,0
0.32,14.6,630,32.0,201.0,0.998,8.0,0.45,9.2,7,1,15.2,1.41,3,0,0,1,0,0
0.28,14.7,510,29.0,149.0,0.99792,7.96,0.39,9.0,9,1,14.0,1.04,3,0,0,1,1,0
0.27,9.7,360,15.0,85.0,0.99406,7.99,0.36,11.2,8,1,16.0,1.61,3,0,0,1,0,0
0.4,5.2,550,41.0,167.0,0.9953,8.18,0.4,10.6,9,1,16.0,1.95,3,0,0,1,0,0
0.31,2.0,290,14.0,141.0,0.99077,7.95,0.77,12.2,8,1,16.6,1.36,3,0,0,1,0,0
0.27,1.5,400,35.0,105.0,0.98914,8.13,0.3,12.4,8,1,12.8,1.58,3,0,0,1,0,0
0.24,7.2,390,38.0,172.0,0.9958,8.49,0.64,9.7,8,1,12.6,1.26,3,0,0,1,0,0
0.29,0.7,280,11.0,66.0,0.99215,8.3,0.4,9.8,7,1,10.6,1.87,3,0,0,1,0,0
0.39,14.2,580,49.0,192.0,0.9979,7.98,0.48,9.0,9,1,14.4,1.98,3,0,0,1,0,0
0.14,2.4,670,10.0,42.0,0.9969,8.19,0.59,9.5,5,0,17.6,1.41,3,0,1,1,1,0
0.3,2.6,340,62.0,148.0,0.99121,8.03,0.56,11.3,9,1,14.2,1.4,3,0,0,1,0,0
0.32,7.6,520,35.0,143.0,0.9959,8.14,0.38,9.0,7,1,13.6,1.52,3,1,0,0,0,0
0.24,6.2,480,31.0,228.0,0.9957,8.23,0.62,9.4,8,1,14.0,1.03,3,1,0,0,0,0
0.2,12.6,320,54.0,136.0,0.99516,7.91,0.43,10.6,8,1,12.2,1.76,3,0,1,1,0,0
0.3,3.8,360,34.0,88.0,0.99028,8.25,0.63,12.5,9,1,13.0,1.11,3,1,0,0,0,0
0.22,1.4,460,16.0,135.0,0.9928,8.08,0.77,10.4,9,1,14.8,1.67,3,1,0,0,0,0
0.23,13.7,450,44.0,192.0,0.9981,8.11,0.53,9.4,7,1,14.2,1.67,3,0,1,1,0,0
0.49,1.0,280,6.0,24.0,0.9926,7.91,0.32,9.9,7,1,17.8,1.85,3,0,0,1,1,0
0.4,6.9,500,30.0,97.0,0.9951,8.26,0.44,10.1,8,1,16.2,1.87,3,0,0,1,0,0
0.13,2.0,760,12.0,20.0,0.99546,8.29,0.54,10.1,5,0,14.4,1.17,3,0,1,1,1,0
0.25,1.9,810,14.0,38.0,0.9984,8.43,0.65,9.0,6,0,15.6,1.24,3,1,1,0,0,0
0.29,4.3,690,20.0,114.0,0.99014,8.22,0.59,13.4,8,1,13.4,1.95,3,1,1,0,0,0
0.29,5.15,350,64.0,138.0,0.9895,8.19,0.34,12.4,10,1,10.4,1.92,3,0,0,1,0,0
0.21,16.2,740,41.0,197.0,0.998,8.02,0.5,9.8,5,1,17.0,1.37,3,0,0,1,0,0
0.45,14.2,380,53.0,141.0,0.9992,8.03,0.46,9.2,8,1,15.8,1.35,3,0,0,1,0,0
0.31,1.6,350,40.0,106.0,0.98914,8.26,0.39,12.9,9,1,12.4,1.05,3,1,0,0,0,0
0.31,5.8,570,131.0,313.0,0.9946,8.18,0.59,10.5,7,1,15.0,1.54,3,0,0,1,0,0
0.28,12.05,580,25.0,125.0,0.99856,8.45,0.45,9.4,7,1,13.2,1.52,3,0,0,1,0,0
0.46,12.0,420,61.0,210.0,0.997,8.17,0.59,9.7,8,1,12.2,1.27,3,1,0,0,0,0
0.02,1.8,670,4.0,11.0,0.997,8.46,0.68,9.5,5,0,12.8,1.37,3,1,1,0,0,0
0.12,2.4,830,8.0,28.0,0.99836,8.33,0.65,10.4,6,0,18.0,1.66,3,0,0,1,0,0
0.36,13.0,510,72.0,177.0,0.9972,8.16,0.49,9.8,7,1,14.0,1.2,3,0,0,1,0,0
0.31,3.9,460,17.0,106.0,0.99098,8.15,0.31,11.5,7,1,13.0,1.88,3,0,0,1,0,0
0.31,11.4,390,46.0,165.0,0.99795,8.41,0.44,9.8,9,1,13.2,1.01,3,0,0,1,0,0
0.39,1.8,320,23.0,118.0,0.9912,8.32,0.5,11.8,8,1,12.8,1.17,3,0,0,1,0,0
0.34,1.6,280,32.0,118.0,0.9901,8.0,0.38,12.1,9,1,15.6,1.52,3,0,0,1,0,0
0.26,12.5,490,52.5,106.0,0.99691,8.08,0.45,9.4,8,1,11.4,1.88,3,0,0,1,0,0
0.29,4.6,320,68.0,137.0,0.99159,8.21,0.38,11.3,8,1,11.8,1.65,3,0,0,1,1,0
0.36,4.5,420,26.0,102.0,0.99427,8.09,0.47,9.5,7,1,15.2,1.27,3,0,0,1,1,0
0.31,1.0,240,13.0,91.0,0.993,7.79,0.37,10.1,7,1,17.0,1.12,3,0,0,1,1,0
0.03,1.8,780,7.0,12.0,0.99587,8.34,0.39,9.5,5,0,14.4,1.99,3,0,1,1,1,0
0.63,2.3,910,6.0,18.0,1.0004,8.16,0.49,9.5,5,0,24.6,1.45,3,1,0,0,0,0
0.22,2.1,770,12.0,65.0,0.9967,8.29,0.51,9.2,5,0,16.2,1.09,3,1,1,0,0,0
0.45,10.6,350,28.0,124.0,0.997,8.2,0.46,10.4,11,1,18.2,1.89,3,0,0,1,0,0
0.27,1.9,580,18.0,38.0,0.99518,8.16,0.85,11.1,6,0,17.0,1.34,3,0,1,1,0,0
0.4,6.3,470,52.0,172.0,0.99573,8.18,0.53,9.5,8,1,14.4,1.01,3,0,0,1,0,0
0.34,1.4,390,21.0,177.0,0.9927,8.32,0.62,10.8,7,1,14.0,1.62,3,0,0,1,1,0
0.36,8.2,280,29.0,142.0,0.9925,8.01,0.34,13.0,9,1,16.2,1.29,3,1,0,0,0,0
0.09,1.4,660,15.0,28.0,0.99459,8.42,0.7,10.0,7,0,12.8,1.2,3,1,0,0,0,0
0.49,13.6,420,58.0,166.0,0.99855,8.1,0.54,9.4,7,1,16.4,1.11,3,1,0,0,0,0
0.32,6.3,300,34.0,129.0,0.9946,8.52,0.41,10.4,7,1,12.0,1.29,3,0,0,1,0,0
0.37,1.2,280,28.0,89.0,0.99132,8.14,0.61,11.8,8,1,14.8,1.59,3,0,0,1,0,0
0.33,6.9,520,23.0,118.0,0.9938,8.23,0.46,10.4,8,1,12.6,1.48,3,0,0,1,0,0
0.29,3.0,270,16.0,102.0,0.99067,8.23,0.56,11.2,8,1,11.0,1.63,3,1,0,0,0,0
0.46,1.8,460,23.0,130.0,0.99587,8.04,0.67,9.6,7,1,19.6,1.5,3,0,0,1,1,0
0.33,1.9,740,27.0,85.0,0.99706,8.41,0.58,9.0,5,0,15.2,1.07,3,0,1,1,0,0
0.38,2.2,470,33.0,96.0,0.9928,8.13,0.39,10.4,10,1,14.0,1.61,3,0,0,1,1,0
0.26,5.55,510,51.0,139.0,0.99336,8.47,0.5,11.0,8,1,11.2,1.06,3,0,0,1,1,0
0.49,2.6,840,21.0,75.0,0.9987,8.35,0.57,9.7,5,0,18.0,1.59,3,0,1,1,0,0
0.38,2.2,260,40.0,104.0,0.9914,8.25,0.4,11.1,10,1,13.2,1.97,3,0,0,1,0,0
0.38,3.5,530,41.0,174.0,0.99306,8.22,0.41,11.6,7,1,16.4,1.5,3,0,0,1,0,0
0.26,2.3,900,23.0,74.0,0.9953,8.71,0.62,12.2,6,0,10.4,1.21,3,0,1,1,0,0
0.17,2.8,400,24.0,125.0,0.9939,8.01,0.46,9.0,7,1,12.4,1.02,3,1,0,0,0,0
0.28,4.8,500,34.0,150.0,0.99437,8.13,0.5,10.0,8,1,16.0,1.44,3,0,0,1,0,0
0.33,1.0,370,66.0,144.0,0.9923,8.11,0.52,10.2,8,1,14.6,1.04,3,0,0,1,0,0
0.35,6.7,390,22.0,64.0,0.99362,7.93,0.49,10.7,7,1,15.8,1.77,3,0,0,1,0,0
0.28,3.1,540,54.0,174.0,0.99543,8.21,0.43,9.4,8,1,17.0,1.62,3,1,0,0,0,0
0.34,3.0,930,16.0,112.0,0.9998,8.38,0.61,9.5,5,0,17.8,1.37,3,1,1,0,0,0
0.16,5.9,480,14.0,125.0,0.99428,8.09,0.49,9.8,7,1,14.4,1.68,3,0,1,1,0,0
0.41,1.9,470,27.0,151.0,0.9937,8.2,0.53,10.1,8,1,15.2,1.58,3,0,0,1,1,0
0.3,1.9,740,32.0,84.0,0.99717,8.39,0.61,9.0,5,0,16.0,1.01,3,1,0,0,0,0
0.42,2.0,800,11.0,27.0,0.9974,8.21,0.8,9.4,6,0,16.6,1.68,3,0,0,1,0,0
0.31,14.5,450,39.0,193.0,0.9986,8.1,0.5,9.2,8,1,14.8,1.75,3,0,0,1,1,0
0.42,6.2,660,41.0,176.0,0.99552,8.12,0.54,9.4,7,1,13.8,1.94,3,0,1,1,0,0
0.73,3.2,660,6.0,22.0,0.9986,8.17,0.66,11.2,6,0,22.2,1.86,3,0,1,1,0,0
0.25,1.7,380,29.0,129.0,0.99312,8.45,0.56,10.4,8,1,15.0,1.24,3,0,0,1,0,0
0.24,2.8,1050,29.0,53.0,0.9998,8.24,0.67,9.9,5,0,20.8,1.73,3,0,1,1,1,0
0.49,2.0,590,10.0,112.0,0.9958,8.15,0.46,10.1,7,1,18.2,1.47,3,0,0,1,0,0
0.1,6.4,430,34.0,142.0,0.99382,8.14,0.48,9.8,7,1,11.2,1.8,3,1,0,0,0,0
0.22,6.4,560,44.0,168.0,0.9947,8.13,0.35,10.1,8,1,14.6,1.32,3,1,0,0,0,0
0.44,8.2,430,54.0,201.0,0.99551,8.18,0.48,9.5,7,1,12.8,1.33,3,1,0,0,0,0
0.51,7.8,550,53.0,177.0,0.99502,8.12,0.45,9.6,7,1,12.8,1.56,3,1,0,0,0,0
0.46,8.7,480,39.0,197.0,0.9974,8.14,0.59,9.6,8,1,16.8,1.18,3,0,0,1,0,0
0.33,1.2,390,16.0,98.0,0.9904,8.07,0.39,11.7,8,1,13.8,1.21,3,0,0,1,0,0
0.07,1.9,750,16.0,51.0,0.99685,8.38,0.52,9.5,5,0,14.2,1.43,3,0,1,1,1,0
0.34,1.1,340,49.0,158.0,0.98774,8.32,0.32,13.1,9,1,10.0,1.91,3,0,0,1,0,0
0.28,4.1,300,22.0,86.0,0.99062,8.31,0.38,11.7,9,1,11.4,1.43,3,1,0,0,0,0
0.19,5.4,420,67.0,181.0,0.99435,8.31,0.35,10.2,8,1,12.8,1.02,3,0,0,1,0,0
0.28,5.7,440,31.0,124.0,0.9948,8.16,0.51,10.2,8,1,16.0,1.99,3,1,0,0,0,0
0.31,9.2,480,22.0,221.0,0.9969,8.06,0.61,9.2,8,1,15.4,1.58,3,0,1,1,0,0
0.4,14.75,420,44.5,129.5,0.9998,8.36,0.41,9.1,9,1,14.6,1.11,3,0,0,1,0,0
0.5,11.4,290,25.0,93.0,0.99428,8.23,0.49,10.5,8,1,11.2,1.99,3,0,0,1,0,0
0.5,12.1,450,38.0,127.0,0.9974,8.04,0.53,8.9,8,1,13.4,1.18,3,1,0,0,0,0
0.68,2.55,850,10.0,25.0,0.997,8.18,0.61,11.8,5,0,22.0,1.69,3,0,0,1,0,0
0.26,2.8,390,50.0,118.0,0.9908,8.06,0.59,11.2,8,1,14.2,1.07,3,0,0,1,0,0
0.22,1.6,440,17.0,101.0,0.99471,8.37,0.53,10.0,7,1,14.4,1.13,3,0,0,1,0,0
0.29,2.0,230,19.0,86.0,0.99,8.25,0.45,12.5,8,1,13.2,1.45,3,0,0,1,0,0
0.49,1.6,530,15.0,144.0,0.993,8.16,0.47,10.5,7,1,15.8,1.52,3,0,0,1,0,0
0.12,2.5,680,11.0,35.0,0.996,8.34,0.61,11.6,6,0,15.6,1.76,3,1,1,0,0,0
0.47,5.1,440,19.0,65.0,0.991,8.03,0.41,12.6,6,1,14.4,1.21,3,1,0,0,0,0
0.4,2.2,420,54.0,201.0,0.99177,8.03,0.5,11.4,7,1,14.2,1.6,3,1,0,0,0,0
0.33,3.6,340,9.0,45.0,0.99144,8.08,0.4,10.5,8,1,13.4,1.04,3,0,0,1,0,0
0.34,4.8,180,23.0,127.0,0.99474,8.12,0.49,11.2,9,1,17.4,1.5,3,1,0,0,0,0
0.21,5.0,420,17.0,133.0,0.99373,8.02,0.53,9.4,7,1,12.2,1.72,3,1,0,0,0,0
0.28,1.1,440,38.0,100.0,0.9904,8.22,0.69,11.2,8,1,13.2,1.86,3,0,0,1,1,0
0.26,13.2,510,54.0,201.0,0.9976,8.25,0.46,9.0,7,1,12.4,1.8,3,1,0,0,0,0
0.0,1.6,690,4.0,8.0,0.99396,8.33,0.37,10.4,4,0,13.2,1.02,3,0,1,1,1,0
0.3,8.7,360,47.0,127.0,0.99368,8.18,0.39,10.6,7,1,12.0,1.49,3,0,0,1,0,0
0.47,1.4,490,50.0,187.0,0.9927,8.19,0.45,9.5,7,1,12.2,1.93,3,1,0,0,0,0
0.49,1.3,320,35.0,148.0,0.9932,8.45,0.57,10.7,9,1,13.8,1.64,3,0,0,1,0,0
0.3,12.8,530,48.5,212.0,0.9986,8.14,0.49,9.1,9,1,14.8,1.97,3,0,0,1,1,0
0.39,1.9,360,41.0,98.0,0.99,8.19,0.43,11.9,9,1,13.0,1.88,3,0,0,1,0,0
0.03,1.5,800,6.0,13.0,0.99498,8.66,0.62,10.1,4,0,11.2,1.88,3,0,1,1,1,0
0.0,2.4,900,8.0,19.0,0.9974,8.27,0.73,9.3,5,0,15.4,1.67,3,0,1,1,1,0
